retweet_count,reply_count,like_count,quote_count,tweet_id,created_at
2582,42,14789,113,846042936437604352,2017-03-26 16:55:29+00:00
7845,101,26970,208,845812042753855488,2017-03-26 01:38:00+00:00
4372,111,23394,144,845677943972139008,2017-03-25 16:45:08+00:00
1618,23,7079,42,845397057150107648,2017-03-24 22:08:59+00:00
4847,68,21582,176,845306882940190720,2017-03-24 16:10:40+00:00
6929,0,0,0,845098359547420672,2017-03-24 02:22:04+00:00
2306,47,12657,57,844979544864018432,2017-03-23 18:29:57+00:00
2843,89,13912,117,844973813909606400,2017-03-23 18:07:10+00:00
2808,41,15273,59,844580511645339648,2017-03-22 16:04:20+00:00
1987,39,12679,51,844223788422217728,2017-03-21 16:26:50+00:00
2698,43,14088,61,843981021012017152,2017-03-21 00:22:10+00:00
4164,84,19925,225,843856843873095680,2017-03-20 16:08:44+00:00
2476,58,15668,49,843604394117681152,2017-03-19 23:25:35+00:00
5389,137,19932,297,843235543001513984,2017-03-18 22:59:54+00:00
3311,55,14194,77,842846295480000512,2017-03-17 21:13:10+00:00
1175,16,6285,28,842765311967449088,2017-03-17 15:51:22+00:00
3168,80,16887,132,842535590457499648,2017-03-17 00:38:32+00:00
5251,85,22694,260,842163532590374912,2017-03-16 00:00:07+00:00
2755,45,13009,100,842115215311396864,2017-03-15 20:48:07+00:00
13535,0,0,0,841833993020538880,2017-03-15 02:10:39+00:00
7144,131,24007,332,841680585030541312,2017-03-14 16:01:03+00:00
3309,55,11707,141,841439858740625408,2017-03-14 00:04:30+00:00
5012,62,18391,146,841320156043304960,2017-03-13 16:08:50+00:00
4228,74,14721,177,841314665196081152,2017-03-13 15:47:01+00:00
4880,141,21301,262,841077006473256960,2017-03-13 00:02:39+00:00
1619,0,0,0,840761248237133824,2017-03-12 03:07:56+00:00
14567,0,0,0,840728873075638272,2017-03-12 00:59:17+00:00
2,2,163,0,840698636975636480,2017-03-11 22:59:09+00:00
889,49,11461,28,840696689258311680,2017-03-11 22:51:24+00:00
1619,27,8412,50,840632337062862848,2017-03-11 18:35:42+00:00
4172,89,15315,172,840370681858686976,2017-03-11 01:15:58+00:00
5205,60,17863,174,840268004936019968,2017-03-10 18:27:58+00:00
2064,64,12513,83,839990271299457024,2017-03-10 00:04:21+00:00
7057,92,25528,180,839549326359670784,2017-03-08 18:52:12+00:00
132,0,0,0,839290600511926272,2017-03-08 01:44:07+00:00
5924,205,25195,615,839239871831150592,2017-03-07 22:22:32+00:00
3658,58,18338,82,838952994649550848,2017-03-07 03:22:35+00:00
1853,34,10406,61,838921590096166912,2017-03-07 01:17:48+00:00
31,0,0,0,838916489579200512,2017-03-07 00:57:32+00:00
10003,0,0,0,838831947270979584,2017-03-06 19:21:35+00:00
1230,43,10231,42,838561493054533632,2017-03-06 01:26:54+00:00
4334,79,20936,115,838476387338051584,2017-03-05 19:48:43+00:00
9160,0,0,0,838201503651401728,2017-03-05 01:36:26+00:00
302,8,1568,8,838150277551247360,2017-03-04 22:12:52+00:00
1,5,133,0,838085839343206400,2017-03-04 17:56:49+00:00
2834,79,16440,103,838083903487373312,2017-03-04 17:49:08+00:00
7138,89,31787,178,837820167694528512,2017-03-04 00:21:08+00:00
405,13,3600,18,837482249356513280,2017-03-03 01:58:22+00:00
2059,37,11967,47,837471256429613056,2017-03-03 01:14:41+00:00
2175,70,15052,61,837110210464448512,2017-03-02 01:20:01+00:00
2109,47,11929,80,836989968035819520,2017-03-01 17:22:13+00:00
4256,78,18095,311,836753516572119040,2017-03-01 01:42:39+00:00
2021,92,11830,59,836677758902222848,2017-02-28 20:41:37+00:00
507,0,0,0,836648853927522304,2017-02-28 18:46:45+00:00
25031,0,0,0,836397794269200384,2017-02-28 02:09:08+00:00
2745,72,13885,91,836380477523124224,2017-02-28 01:00:19+00:00
3976,59,19919,112,836260088725786624,2017-02-27 17:01:56+00:00
3882,46,17865,87,836001077879255040,2017-02-26 23:52:43+00:00
7404,0,0,0,835685285446955008,2017-02-26 02:57:52+00:00
3293,58,16620,123,835574547218894848,2017-02-25 19:37:50+00:00
1540,0,0,0,835536468978302976,2017-02-25 17:06:32+00:00
19122,0,0,0,835309094223372288,2017-02-25 02:03:02+00:00
2734,77,15407,166,835297930240217088,2017-02-25 01:18:40+00:00
1540,27,7219,33,835264098648616960,2017-02-24 23:04:14+00:00
63,9,1987,5,835246439529840640,2017-02-24 21:54:03+00:00
5287,91,24533,209,835172783151792128,2017-02-24 17:01:22+00:00
2755,120,20909,82,835152434251116544,2017-02-24 15:40:31+00:00
1489,49,10080,47,834931633769889792,2017-02-24 01:03:08+00:00
5104,120,20185,392,834786237630337024,2017-02-23 15:25:23+00:00
2307,32,12791,47,834574053763584000,2017-02-23 01:22:14+00:00
9747,0,0,0,834477809192075264,2017-02-22 18:59:48+00:00
1544,53,9020,52,834458053273591808,2017-02-22 17:41:18+00:00
4318,75,19210,171,834209720923721728,2017-02-22 01:14:30+00:00
3358,126,14809,123,834167344700198912,2017-02-21 22:26:07+00:00
1961,85,9430,52,834089966724603904,2017-02-21 17:18:39+00:00
2037,41,12220,59,834086379323871232,2017-02-21 17:04:24+00:00
2206,31,12598,68,833863086058651648,2017-02-21 02:17:06+00:00
3483,66,17051,86,833826103416520704,2017-02-20 23:50:09+00:00
204,0,0,0,833732339549220864,2017-02-20 17:37:34+00:00
2993,96,19647,123,833722901757046784,2017-02-20 17:00:04+00:00
1886,90,13982,89,833479644947025920,2017-02-20 00:53:27+00:00
4435,95,18964,160,833124694597443584,2017-02-19 01:23:00+00:00
2008,75,12404,223,832998151111966720,2017-02-18 17:00:10+00:00
38,0,0,0,832769181346996224,2017-02-18 01:50:19+00:00
3314,45,15830,115,832757312314028032,2017-02-18 01:03:09+00:00
2663,32,11118,34,832682457690300416,2017-02-17 20:05:43+00:00
484,24,2733,53,832645525019123712,2017-02-17 17:38:57+00:00
2555,46,14867,70,832636094638288896,2017-02-17 17:01:29+00:00
2035,64,11221,100,832397543355072512,2017-02-17 01:13:34+00:00
2914,81,16051,114,832369877331693568,2017-02-16 23:23:38+00:00
2140,41,10634,68,832273440279240704,2017-02-16 17:00:25+00:00
5710,0,0,0,832215909146226688,2017-02-16 13:11:49+00:00
8571,0,0,0,832215726631055360,2017-02-16 13:11:05+00:00
2,2,59,0,832088576586297344,2017-02-16 04:45:50+00:00
8807,0,0,0,832040443403784192,2017-02-16 01:34:34+00:00
4296,158,16743,455,832032802820481024,2017-02-16 01:04:13+00:00
5648,184,22448,416,831939777352105984,2017-02-15 18:54:34+00:00
34,1,319,3,831926988323639296,2017-02-15 18:03:45+00:00
5958,120,25794,446,831911600680497152,2017-02-15 17:02:36+00:00
1686,40,9774,64,831670449226514432,2017-02-15 01:04:21+00:00
1783,35,6667,53,831650051525054464,2017-02-14 23:43:18+00:00
2157,21,8440,50,831552930092285952,2017-02-14 17:17:22+00:00
1440,35,8737,56,831322785565769728,2017-02-14 02:02:51+00:00
1036,51,6163,62,831315979191906304,2017-02-14 01:35:49+00:00
2259,44,11067,90,831309418084069376,2017-02-14 01:09:44+00:00
1885,38,11135,67,831262627380748288,2017-02-13 22:03:49+00:00
1373,21,7497,62,830956169170665472,2017-02-13 01:46:03+00:00
15377,194,62281,488,830583320585068544,2017-02-12 01:04:29+00:00
5227,0,0,0,830173239259324416,2017-02-10 21:54:58+00:00
2688,44,9137,173,830097400375152640,2017-02-10 16:53:37+00:00
4590,0,0,0,829878982036299776,2017-02-10 02:25:42+00:00
1790,31,11496,41,829861396166877184,2017-02-10 01:15:49+00:00
9747,128,29829,355,829501995190984704,2017-02-09 01:27:41+00:00
1857,29,9852,112,829449946868879360,2017-02-08 22:00:52+00:00
6750,85,22865,232,829141528400556032,2017-02-08 01:35:19+00:00
15062,248,50170,769,829011960981237760,2017-02-07 17:00:28+00:00
3150,0,0,0,828801551087042560,2017-02-07 03:04:22+00:00
5385,97,24032,232,828770345708580864,2017-02-07 01:00:22+00:00
10297,227,34169,562,828708714936930304,2017-02-06 20:55:28+00:00
1233,15,8932,38,828650029636317184,2017-02-06 17:02:17+00:00
1078,26,6033,62,828409743546925056,2017-02-06 01:07:28+00:00
1182,28,7236,44,828408677031882752,2017-02-06 01:03:14+00:00
2055,50,11843,80,828381636999917568,2017-02-05 23:15:47+00:00
991,11,6972,34,828376505180889088,2017-02-05 22:55:23+00:00
2721,41,11843,167,828372645993398272,2017-02-05 22:40:03+00:00
165,8,2065,3,828361771580813312,2017-02-05 21:56:51+00:00
2648,54,11028,84,828046555563323392,2017-02-05 01:04:17+00:00
1981,31,9752,57,828011680017821696,2017-02-04 22:45:42+00:00
4813,117,18804,236,827933404142436352,2017-02-04 17:34:40+00:00
2787,48,14558,89,827653905312006144,2017-02-03 23:04:02+00:00
863,34,7050,44,827600520311402496,2017-02-03 19:31:54+00:00
2800,33,14914,64,827324948884643840,2017-02-03 01:16:53+00:00
2056,51,9972,55,827199976799354880,2017-02-02 17:00:17+00:00
4590,78,20264,130,826958653328592896,2017-02-02 01:01:21+00:00
9310,248,33970,949,826848821049180160,2017-02-01 17:44:55+00:00
3671,0,0,0,826615380357632000,2017-02-01 02:17:19+00:00
229,87,4849,5,826598799820865536,2017-02-01 01:11:25+00:00
2174,41,9425,53,826598365270007808,2017-02-01 01:09:42+00:00
3887,56,17330,139,826476773533745152,2017-01-31 17:06:32+00:00
2412,56,12502,96,826240494070030336,2017-01-31 01:27:39+00:00
855,20,4586,32,826204788643753984,2017-01-30 23:05:46+00:00
2859,44,14706,73,826115272272650240,2017-01-30 17:10:04+00:00
1735,36,9906,47,825876512159186944,2017-01-30 01:21:19+00:00
2324,29,11987,61,825829644528148480,2017-01-29 22:15:05+00:00
16309,234,53829,374,825535076884762624,2017-01-29 02:44:34+00:00
4168,94,17210,209,825147591692263424,2017-01-28 01:04:51+00:00
1165,0,0,0,825120256414846976,2017-01-27 23:16:13+00:00
1165,37,5891,49,825026590719483904,2017-01-27 17:04:02+00:00
5079,0,0,0,824796380199809024,2017-01-27 01:49:15+00:00
3260,42,14026,87,824775126675836928,2017-01-27 00:24:48+00:00
1637,43,9923,61,824663926340194304,2017-01-26 17:02:56+00:00
9859,68,11144,179,824325613288833024,2017-01-25 18:38:36+00:00
3557,82,14190,127,824297048279236608,2017-01-25 16:45:05+00:00
556,31,4570,12,824025158776213504,2017-01-24 22:44:42+00:00
2523,39,10038,118,823939628516474880,2017-01-24 17:04:50+00:00
10318,0,0,0,823719002937630720,2017-01-24 02:28:08+00:00
2331,89,13169,98,823699002998870016,2017-01-24 01:08:40+00:00
2434,40,12225,66,823581115634085888,2017-01-23 17:20:14+00:00
22,2,662,1,823333489516937216,2017-01-23 00:56:15+00:00
3709,67,14783,147,823322678127919104,2017-01-23 00:13:17+00:00
9188,0,0,0,823269594223824896,2017-01-22 20:42:21+00:00
3191,56,16329,87,822975315408461824,2017-01-22 01:12:59+00:00
39793,590,123737,1129,822872901745569792,2017-01-21 18:26:02+00:00
2106,47,12418,63,822859134160621568,2017-01-21 17:31:20+00:00
5937,0,0,0,822647212903690240,2017-01-21 03:29:14+00:00
2722,57,13933,63,822610361945911296,2017-01-21 01:02:48+00:00
5937,103,17063,384,822489057087389696,2017-01-20 17:00:46+00:00
13088,294,26222,1811,822462944365645824,2017-01-20 15:17:01+00:00
9188,146,33018,338,822244816520155136,2017-01-20 00:50:15+00:00
4358,0,0,0,822163064745328640,2017-01-19 19:25:24+00:00
2132,30,10650,67,821886076407029760,2017-01-19 01:04:45+00:00
3115,0,0,0,821813639212650496,2017-01-18 20:16:54+00:00
1555,26,7890,30,821765923262631936,2017-01-18 17:07:18+00:00
1626,32,7549,62,821522889702862848,2017-01-18 01:01:34+00:00
5113,0,0,0,821421320206483456,2017-01-17 18:17:58+00:00
3980,101,11073,486,821407182352777216,2017-01-17 17:21:47+00:00
9,0,236,0,821153421864615936,2017-01-17 00:33:26+00:00
1821,28,8089,59,821149554670182400,2017-01-17 00:18:04+00:00
